channel,sessions,total_revenue_aud,key_events
Organic Social,78628,128779.74474299997,13287
Paid Social,61181,101670.75655399998,10600
Direct,24278,240124.33175800004,16044
Cross-network,16467,75719.713785999978,5768
Organic Search,13657,128126.82908600004,8516
Unassigned,6323,45526.290096,2764
Paid Shopping,2003,3068.043618,264
Paid Other,1060,2647.5757609999991,198
Paid Search,795,3276.3140660000013,286
Referral,749,12489.451002,601
Organic Shopping,486,3221.3336880000006,300
Email,426,6105.2826990000012,413
AI Assistant,140,1066.064691,100
Mobile Push Notifications,108,87.583206,8
