menu_title,menu_handle,is_default,level,item_id,item_title,item_type,url,resource_id,tags
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/555462721673","SHOP ALL","COLLECTION","/collections/all","gid://shopify/Collection/284583723145",""
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/547798745225","SWIM","COLLECTION","/collections/girls-period-swimwear","gid://shopify/Collection/283440447625",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/534329983113","UnderSwim OG","PRODUCT","/products/period-swim-undies","gid://shopify/Product/7087978381449",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/534330015881","UnderSwim G-Fit","PRODUCT","/products/g-fit-underswim-period-swim-underwear","gid://shopify/Product/8004465393801",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547798777993","Period Swim Bikini Bottoms","PRODUCT","/products/period-swimwear-bottoms-for-teens","gid://shopify/Product/7942146162825",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/577693057161","Performance Period One-Piece","PRODUCT","/products/swimsync-period-one-piece-swimsuit","gid://shopify/Product/8318788468873",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547799367817","Why the Best Teen Period Swim?","COLLECTION","/collections/girls-period-swimwear","gid://shopify/Collection/283440447625",""
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/547798810761","ACTIVE","HTTP","#","",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/589266845833","UnderAustin Period Undershort","PRODUCT","/products/underaustin","gid://shopify/Product/8390218612873",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/534330376329","UnderDance Active Period Underwear","PRODUCT","/products/period-dance-gym","gid://shopify/Product/7811751936137",""
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/547798876297","EVERYDAY","COLLECTION","/collections/best-first-period-tween-teen-girl","gid://shopify/Collection/300248662153",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/534332506249","Period Starter Bumpers Briefs","PRODUCT","/products/period-underwear-girls","gid://shopify/Product/7521371095177",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547798909065","UnderShortie Boyleg Briefs","PRODUCT","/products/period-boyshort-undies","gid://shopify/Product/7843771285641",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/539276312713","UnderLiner Ultra Thins","PRODUCT","/products/underliner-girls-leak-proof","gid://shopify/Product/8103196131465",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547800678537","About First & Early Period Undies","PAGE","/pages/first-period-underwear-for-girls","gid://shopify/Page/95692423305",""
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/547803693193","OTHER HANDY STUFF","HTTP","#","",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547803725961","Wet Pouch","PRODUCT","/products/wet-pouch","gid://shopify/Product/7849077833865",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/548589830281","Stain Slayer Wipes","PRODUCT","/products/stain-slayer-single-use-wipe","gid://shopify/Product/8162437955721",""
"MAIN (ELTEE)","main-menu","true","1","gid://shopify/MenuItem/547798941833","BUNDLE & SAVE","HTTP","#","",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/547798974601","The Pool Perfect","PRODUCT","/products/tpp-combo","gid://shopify/Product/8462059110537",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/586829922441","Period Starter 5-Pack","PRODUCT","/products/period-starter-bundle-5-pack","gid://shopify/Product/8462007730313",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/586917052553","The Active All Rounder","PRODUCT","/products/aar-combo","gid://shopify/Product/8463170896009",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/599744348297","The Encore Bundle","PRODUCT","/products/the-encore-bundle-2","gid://shopify/Product/8641804501129",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/550651199625","The Ready-for-Anything (Dance)","PRODUCT","/products/the-ready-for-anything-pack-dance-edition","gid://shopify/Product/8462051213449",""
"MAIN (ELTEE)","main-menu","true","2","gid://shopify/MenuItem/550661587081","The Ready-for-Anything (Swim)","PRODUCT","/products/the-ready-for-anything-pack-swim-edition","gid://shopify/Product/8462055899273",""
